name,price,search Date,price numeric,company,product type,area
"Revestimento Brilhante Eliane Metro White ""A"" 10x20cm","R$ 61,50 à vista",2026-02-14,61.5,Eliane,Brilhante,10x20
"Revestimento Mate Portobello Georgian Blend Tel ""A"" 7x26 (30x39)","R$ 108,59 m² à vista",2026-02-14,108.59,Portobello,Mate,7x26
"Porcelanato Acetinado Eliane Reserva ""A"" 19,7x120cm","R$ 84,90 m² à vista",2026-02-14,84.9,Eliane,Acetinado,19.7x120
"Revestimento Eliane Metro Grey Brilho 10x20 ""A""","R$ 91,90 à vista",2026-02-14,91.9,Eliane,Brilhante,10x20
"Revestimento Acetinado Eliane Forma Branco ""A"" 30x40cm","R$ 39,90 m² à vista",2026-02-14,39.9,Eliane,Acetinado,30x40
"Revestimento Acetinado Eliane Forma Branco ""A"" 32x60cm Retificado","R$ 51,90 m² à vista",2026-02-14,51.9,Eliane,Acetinado,32x60
"Revestimento Mate Portobello Georgian Red Tel ""A"" 7x26 (30x39)","R$ 144,46 m² à vista",2026-02-14,144.46,Portobello,Mate,7x26
"Porcelanato Acetinado Eliane Mont Blanc Retificado ""A"" 60x120cm","R$ 86,90 m² à vista",2026-02-14,86.9,Eliane,Acetinado,60x120
"Porcelanato Externo Eliane Metrópole Portland ""A"" 84x84cm","R$ 67,90 m² à vista",2026-02-14,67.9,Eliane,Externo,84x84
"Porcelanato Polido Eliane Place ""A"" 120x120","R$ 172,90 m² à vista",2026-02-14,172.9,Eliane,Polido,120x120
"Porcelanato Acetinado Eliane Munari Branco ""A"" 90x90cm Retificado","R$ 96,90 m² à vista",2026-02-14,96.9,Eliane,Acetinado,90x90
"Porcelanato Acetinado Portinari Home Hd Be ""A"" 19x117cm Retificado","R$ 142,90 m² à vista",2026-02-14,142.9,Portinari,Acetinado,19x117
"Porcelanato Hard Portinari Carvalho HD ""A"" 19x117cm Retificado","R$ 120,90 m² à vista",2026-02-14,120.9,Portinari,Hard,19x117
Porcelanato Acetinado Eliane Mont Blanc Retificado 90x90cm,"R$ 92,90 m² à vista",2026-02-14,92.9,Eliane,Acetinado,90x90
"Porcelanato Acetinado Eliane Khali Off White ""A"" 90x90cm","R$ 97,90 m² à vista",2026-02-14,97.9,Eliane,Acetinado,90x90
"Revestimento Acetinado Eliane White ""A"" 10x20cm","R$ 69,90 à vista",2026-02-14,69.9,Eliane,Acetinado,10x20
"Porcelanato Portobello Hit Off White Natural Retificado ""A"" 90x90cm","R$ 97,90 m² à vista",2026-02-14,97.9,Portobello,Natural,90x90
"Porcelanato Acetinado Eliane Munari Cimento ""A"" 90x90cm Retificado","R$ 69,90 m² à vista",2026-02-14,69.9,Eliane,Acetinado,90x90
"Porcelanato Acetinado Eliane Metropole Portland ""A"" 84x84cm","R$ 62,90 m² à vista",2026-02-14,62.9,Eliane,Acetinado,84x84
"Porcelanato Polido Eliane Pulpis Brown ""A"" 60x120","R$ 162,90 m² à vista",2026-02-14,162.9,Eliane,Polido,60x120
"Porcelanato Portobello Samba Rock Off White Natural Retificado ""A"" 90x90","R$ 158,90 m² à vista",2026-02-14,158.9,Portobello,Natural,90x90
"Porcelanato Natural Portobello Nord Cement ""A"" 60x120cm Retificado","R$ 122,90 m² à vista",2026-02-14,122.9,Portobello,Natural,60x120
"Porcelanato Portinari Santorini Sgr Nat Ret ""A"" 90x90","R$ 116,90 m² à vista",2026-02-14,116.9,Portinari,Natural,90x90
"Porcelanato ""A"" 90x90 Nord Cement Natural Retificado 209552E Portobello","R$ 106,90 m² à vista",2026-02-14,106.9,Portobello,Natural,90x90
"Porcelanato Natural Portobello V Stone Off White ""A"" 80x80cm Retificado","R$ 118,90 m² à vista",2026-02-14,118.9,Portobello,Natural,80x80
"Porcelanato Portobello Hit Camel Natural Retificado ""A"" 90x90cm","R$ 85,90 m² à vista",2026-02-14,85.9,Portobello,Natural,90x90
"Porcelanato Portobello Oasi Roccia Ext Bold ""A"" 20x20","R$ 259,22 m² à vista",2026-02-14,259.22,Portobello,Externo,20x20
